individual,mut_inROH
BEN_CI15,8.395704523
BEN_CI16,13.76479111
BEN_CI18,9.285953738
BEN_CI19,3.937728938
BEN_CI3,7.317695054
BEN_CI4,3.761638734
BEN_CI5,1.968335473
BEN_CI6,8.771021992
BEN_NE1,18.87314207
BEN_NE2,42.86349489
BEN_NE3,25.16514627
BEN_NOR1,20.28433613
BEN_NOR2,26.48562864
BEN_NW10,20.32627039
BEN_NW11,16.43617021
BEN_NW12,24.45223488
BEN_NW13,18.71518752
BEN_NW14,18.04946501
BEN_NW17,16.95642842
BEN_NW18,24.26320667
BEN_NW19,19.46332737
BEN_NW20,15.2384128
BEN_NW24,19.81251127
BEN_NW3,27.18971301
BEN_NW4,25.98960416
BEN_NW5,14.20024635
BEN_NW55,18.64139021
BEN_NW57,17.52712308
BEN_NW6,16.02221308
BEN_NW8,19.87667009
BEN_NW9,25.43159458
BEN_SI1,23.05944056
BEN_SI11,17.3251178
BEN_SI18,21.12812561
BEN_SI19,20.51282051
BEN_SI3,22.91944075
BEN_SI6,22.49427515
BEN_SI8,24.76340694
LGS1,31.69964029
BEN_SI5,26.31578947
ZSB-01,26.62158008
