individual,mut_inROH
BEN_CI15,11.7318436
BEN_CI16,25.5813953
BEN_CI18,11.1111111
BEN_CI19,5.3030303
BEN_CI3,14.8387097
BEN_CI4,13.4920635
BEN_CI5,9.2307692
BEN_CI6,11.875
BEN_NW10,25.8992806
BEN_NW11,12.0689655
BEN_NW12,23.3009709
BEN_NW13,17.6056338
BEN_NW14,16.9117647
BEN_NW17,14.7826087
BEN_NW18,35.5371901
BEN_NW19,16.5354331
BEN_NW20,23.7623762
BEN_NW24,20.4918033
BEN_NW3,20.661157
BEN_NW4,24.7191011
BEN_NW5,5.8823529
BEN_NW55,13.5714286
BEN_NW57,7.6
BEN_NW6,16.2601626
BEN_NW8,17.6470588
BEN_NW9,22.962963
BEN_SI1,28.4722222
BEN_SI11,17.8082192
BEN_SI3,27.1604938
BEN_SI6,25.3521127
BEN_SI8,32.3943662
BEN_SI9,24.8366013
ZSB_01,22.6130653
ZSB_02,20.657277
ZSB_03,25.7731959
ZSB_04,21.9512195
ZSB_05,27.3148148
BEN_SI18,24.3697479
BEN_SI19,21.5517241
BEN_NE1,17.4603175
BEN_NE2,44.0366972
BEN_NE3,30.2325581
BEN_NOR1,22.4806202
BEN_NOR2,26.6666667
BEN_SI5,40
LGS1,13.1147541
