individual,mut_inROH
BEN_CI15,8.021168413
BEN_CI16,13.43514532
BEN_CI18,8.265223275
BEN_CI19,3.21385109
BEN_CI3,7.081592259
BEN_CI4,5.215774538
BEN_CI5,1.918115536
BEN_CI6,7.112397198
BEN_NE1,13.35380337
BEN_NE2,31.83531458
BEN_NE3,16.12315842
BEN_NOR1,14.85208444
BEN_NOR2,20.96088435
BEN_NW10,13.34407736
BEN_NW11,12.27870099
BEN_NW12,17.73557146
BEN_NW13,15.65581447
BEN_NW14,15.14174252
BEN_NW17,14.38490297
BEN_NW18,19.50177135
BEN_NW19,16.83471673
BEN_NW20,10.32327683
BEN_NW24,18.02502536
BEN_NW3,21.86100611
BEN_NW4,22.44519914
BEN_NW5,10.33457249
BEN_NW55,13.95953911
BEN_NW57,11.99581647
BEN_NW6,10.53749484
BEN_NW8,15.5872416
BEN_NW9,18.95042074
BEN_SI1,19.03942159
BEN_SI11,13.78455672
BEN_SI18,15.42973287
BEN_SI19,16.48957556
BEN_SI3,19.03293314
BEN_SI6,18.74712114
BEN_SI8,22.53669929
LGS1,25.30373678
BEN_SI5,21.03481625
ZSB-01,22.13650319
