individual,site,misscount,syncount_m,totalcount_m,losscount,syncount_l,totalcount_l,miss,loss,froh,froh1
BEN_CI15,Kanha,1546,17728,19274,516,5630,6146,0.080211684,0.083957045,0.194952311,0.056086949
BEN_CI16,Kanha,1997,12867,14864,570,3571,4141,0.134351453,0.137647911,0.383166097,0.267989932
BEN_CI18,Kanha,1527,16948,18475,554,5412,5966,0.082652233,0.092859537,0.184340877,0.06026844
BEN_CI19,Kanha,581,17497,18078,172,4196,4368,0.032138511,0.039377289,0.115609032,0.008558146
BEN_CI3,Kanha,966,12675,13641,287,3635,3922,0.070815923,0.073176951,0.176376286,0.125719467
BEN_CI4,Kanha,533,9686,10219,101,2584,2685,0.052157745,0.037616387,0.22433901,0.104496188
BEN_CI5,Kanha,171,8744,8915,46,2291,2337,0.019181155,0.019683355,0.158848262,0.030852865
BEN_CI6,Kanha,934,12198,13132,339,3526,3865,0.071123972,0.08771022,0.202124807,0.06726288
BEN_NE1,panindia,2305,14956,17261,1092,4694,5786,0.133538034,0.188731421,0.187307995,0.073665762
BEN_NE2,panindia,4392,9404,13796,1928,2570,4498,0.318353146,0.428634949,0.520012203,0.416458165
BEN_NE3,panindia,1948,10134,12082,800,2379,3179,0.161231584,0.251651463,0.415042897,0.292199295
BEN_NOR1,panindia,1963,11254,13217,799,3140,3939,0.148520844,0.202843361,0.262106687,0.086624207
BEN_NOR2,panindia,3451,13013,16464,1502,4169,5671,0.209608844,0.264856286,0.340919531,0.201026713
BEN_NW10,ranthambore,2484,16131,18615,1084,4249,5333,0.133440774,0.203262704,0.544375752,0.398760362
BEN_NW11,ranthambore,2261,16153,18414,927,4713,5640,0.12278701,0.164361702,0.420750684,0.303918769
BEN_NW12,ranthambore,2652,12301,14953,1116,3448,4564,0.177355715,0.244522349,0.545319301,0.444802366
BEN_NW13,ranthambore,2842,15311,18153,1008,4378,5386,0.156558145,0.187151875,0.503922083,0.351555005
BEN_NW14,ranthambore,2911,16314,19225,1029,4672,5701,0.151417425,0.18049465,0.527238251,0.448640119
BEN_NW17,ranthambore,2424,14427,16851,790,3869,4659,0.14384903,0.169564284,0.480687972,0.367294069
BEN_NW18,ranthambore,3468,14315,17783,1309,4086,5395,0.195017714,0.242632067,0.575839499,0.468316935
BEN_NW19,ranthambore,3022,14929,17951,1088,4502,5590,0.168347167,0.194633274,0.458786692,0.35593693
BEN_NW20,ranthambore,2296,19945,22241,914,5084,5998,0.103232768,0.152384128,0.452565788,0.212756409
BEN_NW24,ranthambore,3198,14544,17742,1099,4448,5547,0.180250254,0.198125113,0.49294711,0.359415677
BEN_NW3,ranthambore,3759,13436,17195,1459,3907,5366,0.218610061,0.27189713,0.549006063,0.45701344
BEN_NW4,ranthambore,3635,12560,16195,1300,3702,5002,0.224451991,0.259896042,0.525144036,0.454890971
BEN_NW5,ranthambore,1946,16884,18830,807,4876,5683,0.103345725,0.142002463,0.406660198,0.299541061
BEN_NW55,ranthambore,2629,16204,18833,944,4120,5064,0.139595391,0.186413902,0.475115218,0.238668664
BEN_NW57,ranthambore,2638,19353,21991,937,4409,5346,0.119958165,0.175271231,0.48835444,0.205750181
BEN_NW6,ranthambore,1786,15163,16949,779,4083,4862,0.105374948,0.160222131,0.418989762,0.308965819
BEN_NW8,ranthambore,2722,14741,17463,967,3898,4865,0.155872416,0.198766701,0.512200187,0.390423249
BEN_NW9,ranthambore,3333,14255,17588,1370,4017,5387,0.189504207,0.254315946,0.53266027,0.436863996
BEN_SI1,wayanad,3318,14109,17427,1319,4401,5720,0.190394216,0.230594406,0.354028887,0.201145308
BEN_SI11,wayanad,1446,9044,10490,478,2281,2759,0.137845567,0.173251178,0.271221336,0.164529157
BEN_SI18,wayanad,2657,14563,17220,1090,4069,5159,0.154297329,0.211281256,0.335805911,0.210446433
BEN_SI19,wayanad,2871,14540,17411,1072,4154,5226,0.164895756,0.205128205,0.340696574,0.214272774
BEN_SI3,wayanad,3456,14702,18158,1377,4631,6008,0.190329331,0.229194407,0.375113417,0.221949493
BEN_SI6,wayanad,3256,14112,17368,1277,4400,5677,0.187471211,0.224942751,0.382696006,0.24117521
BEN_SI8,wayanad,4053,13931,17984,1413,4293,5706,0.225366993,0.247634069,0.382696006,0.322607441
BEN_CI15,panindia,1546,17728,19274,516,5630,6146,0.080211684,0.083957045,0.194952311,0.056086949
BEN_CI16,panindia,1997,12867,14864,570,3571,4141,0.134351453,0.137647911,0.383166097,0.267989932
BEN_CI18,panindia,1527,16948,18475,554,5412,5966,0.082652233,0.092859537,0.184340877,0.06026844
