individual,site,misscount,syncount_m,totalcount_m,losscount,syncount_l,totalcount_l,miss,loss,froh,froh1
BEN_CI15,Kanha,1094,7324,8418,21,158,179,0.12995961,0.117318436,0.194952311,0.056086949
BEN_CI16,Kanha,1653,5157,6810,33,96,129,0.242731278,0.255813953,0.383166097,0.267989932
BEN_CI18,Kanha,1016,6910,7926,19,152,171,0.128185718,0.111111111,0.184340877,0.06026844
BEN_CI19,Kanha,963,27610,28573,14,250,264,0.033703146,0.053030303,0.115609032,0.008558146
BEN_CI3,Kanha,1249,6764,8013,23,132,155,0.155871708,0.148387097,0.176376286,0.125719467
BEN_CI4,Kanha,792,5240,6032,17,109,126,0.131299735,0.134920635,0.22433901,0.104496188
BEN_CI5,Kanha,611,5498,6109,12,118,130,0.100016369,0.092307692,0.158848262,0.030852865
BEN_CI6,Kanha,1182,6962,8144,19,141,160,0.145137525,0.11875,0.202124807,0.06726288
BEN_NW10,ranthambore,1587,7849,9436,36,103,139,0.168185672,0.258992806,0.544375752,0.398760362
BEN_NW11,ranthambore,899,6595,7494,14,102,116,0.119962637,0.120689655,0.420750684,0.303918769
BEN_NW12,ranthambore,1295,6018,7313,24,79,103,0.177081909,0.233009709,0.545319301,0.444802366
BEN_NW13,ranthambore,1455,7108,8563,25,117,142,0.169917085,0.176056338,0.503922083,0.351555005
BEN_NW14,ranthambore,1123,7121,8244,23,113,136,0.136220281,0.169117647,0.527238251,0.448640119
BEN_NW17,ranthambore,1030,7126,8156,17,98,115,0.126287396,0.147826087,0.480687972,0.367294069
BEN_NW18,ranthambore,1528,4739,6267,43,78,121,0.243816818,0.355371901,0.575839499,0.468316935
BEN_NW19,ranthambore,1003,4405,5408,21,106,127,0.185465976,0.165354331,0.458786692,0.35593693
BEN_NW20,ranthambore,1649,18783,20432,48,154,202,0.080706735,0.237623762,0.452565788,0.212756409
BEN_NW24,ranthambore,1453,5284,6737,25,97,122,0.215674633,0.204918033,0.49294711,0.359415677
BEN_NW3,ranthambore,1457,3605,5062,25,96,121,0.287830897,0.20661157,0.549006063,0.45701344
BEN_NW4,ranthambore,840,3079,3919,22,67,89,0.214340393,0.247191011,0.525144036,0.454890971
BEN_NW5,ranthambore,91,4332,4423,5,80,85,0.020574271,0.058823529,0.475115218,0.299541061
BEN_NW55,ranthambore,1747,13525,15272,19,121,140,0.114392352,0.135714286,0.48835444,0.238668664
BEN_NW57,ranthambore,1328,37413,38741,19,231,250,0.034278929,0.076,0.406660198,0.205750181
BEN_NW6,ranthambore,1040,4464,5504,20,103,123,0.188953488,0.162601626,0.418989762,0.308965819
BEN_NW8,ranthambore,1419,4545,5964,21,98,119,0.237927565,0.176470588,0.512200187,0.390423249
BEN_NW9,ranthambore,1565,5504,7069,31,104,135,0.221389164,0.22962963,0.53266027,0.436863996
BEN_SI1,wayanad,1897,5563,7460,41,103,144,0.254289544,0.284722222,0.354028887,0.201145308
BEN_SI11,wayanad,1094,3557,4651,13,60,73,0.235218233,0.178082192,0.271221336,0.164529157
BEN_SI3,wayanad,2105,6055,8160,44,118,162,0.257965686,0.271604938,0.375113417,0.221949493
BEN_SI6,wayanad,1859,5833,7692,36,106,142,0.241679667,0.253521127,0.382696006,0.24117521
BEN_SI8,wayanad,2274,5146,7420,46,96,142,0.306469003,0.323943662,0.455554692,0.322607441
BEN_SI9,wayanad,1795,6394,8189,38,115,153,0.219196483,0.248366013,0.330176685,0.179879348
ZSB_01,zoo,1698,7969,9667,45,154,199,0.175649116,0.226130653,0.281494967,0.168152715
ZSB_02,zoo,2605,10649,13254,44,169,213,0.196544439,0.20657277,0.382961617,0.267495549
ZSB_03,zoo,2136,6873,9009,50,144,194,0.237096237,0.257731959,0.366469371,0.259596812
ZSB_04,zoo,2271,8248,10519,45,160,205,0.215895047,0.219512195,0.353930632,0.220100628
ZSB_05,zoo,2689,7255,9944,59,157,216,0.27041432,0.273148148,0.347286103,0.238264413
BEN_SI18,wayanad,1505,4509,6014,29,90,119,0.250249418,0.243697479,0.335805911,0.210446433
BEN_SI19,wayanad,1540,4628,6168,25,91,116,0.249675746,0.215517241,0.340696574,0.214272774
BEN_CI15,panindia,1094,7324,8418,21,158,179,0.12995961,0.117318436,0.194952311,0.056086949
BEN_CI16,panindia,1653,5157,6810,33,96,129,0.242731278,0.255813953,0.383166097,0.267989932
BEN_CI18,panindia,1016,6910,7926,19,152,171,0.128185718,0.111111111,0.184340877,0.06026844
BEN_CI19,panindia,963,27610,28573,14,250,264,0.033703146,0.053030303,0.115609032,0.008558146
BEN_CI3,panindia,1249,6764,8013,23,132,155,0.155871708,0.148387097,0.176376286,0.125719467
BEN_CI4,panindia,792,5240,6032,17,109,126,0.131299735,0.134920635,0.22433901,0.104496188
BEN_CI5,panindia,611,5498,6109,12,118,130,0.100016369,0.092307692,0.158848262,0.030852865
BEN_CI6,panindia,1182,6962,8144,19,141,160,0.145137525,0.11875,0.202124807,0.06726288
BEN_NE1,panindia,1414,7325,8739,33,156,189,0.16180341,0.174603175,0.187307995,0.073665762
BEN_NE2,panindia,2468,4479,6947,48,61,109,0.355261264,0.440366972,0.520012203,0.416458165
BEN_NE3,panindia,1998,4860,6858,39,90,129,0.291338583,0.302325581,0.415042897,0.292199295
BEN_NOR1,panindia,1286,5464,6750,29,100,129,0.190518519,0.224806202,0.262106687,0.086624207
BEN_NOR2,panindia,1491,5049,6540,40,110,150,0.227981651,0.266666667,0.340919531,0.201026713
BEN_NW10,panindia,1587,7849,9436,36,103,139,0.168185672,0.258992806,0.544375752,0.398760362
BEN_NW11,panindia,899,6595,7494,14,102,116,0.119962637,0.120689655,0.420750684,0.303918769
BEN_NW12,panindia,1295,6018,7313,24,79,103,0.177081909,0.233009709,0.545319301,0.444802366
BEN_NW13,panindia,1455,7108,8563,25,117,142,0.169917085,0.176056338,0.503922083,0.351555005
BEN_NW14,panindia,1123,7121,8244,23,113,136,0.136220281,0.169117647,0.527238251,0.448640119
BEN_NW17,panindia,1030,7126,8156,17,98,115,0.126287396,0.147826087,0.480687972,0.367294069
BEN_NW18,panindia,1528,4739,6267,43,78,121,0.243816818,0.355371901,0.575839499,0.468316935
BEN_NW19,panindia,1003,4405,5408,21,106,127,0.185465976,0.165354331,0.458786692,0.35593693
BEN_NW20,panindia,1649,18783,20432,48,154,202,0.080706735,0.237623762,0.452565788,0.212756409
BEN_NW24,panindia,1453,5284,6737,25,97,122,0.215674633,0.204918033,0.49294711,0.359415677
BEN_NW3,panindia,1457,3605,5062,25,96,121,0.287830897,0.20661157,0.549006063,0.45701344
BEN_NW4,panindia,840,3079,3919,22,67,89,0.214340393,0.247191011,0.525144036,0.454890971
BEN_NW5,panindia,91,4332,4423,5,80,85,0.020574271,0.058823529,0.475115218,0.299541061
BEN_NW55,panindia,1747,13525,15272,19,121,140,0.114392352,0.135714286,0.48835444,0.238668664
BEN_NW57,panindia,1328,37413,38741,19,231,250,0.034278929,0.076,0.406660198,0.205750181
BEN_NW6,panindia,1040,4464,5504,20,103,123,0.188953488,0.162601626,0.418989762,0.308965819
BEN_NW8,panindia,1419,4545,5964,21,98,119,0.237927565,0.176470588,0.512200187,0.390423249
BEN_NW9,panindia,1565,5504,7069,31,104,135,0.221389164,0.22962963,0.53266027,0.436863996
BEN_SI1,panindia,1897,5563,7460,41,103,144,0.254289544,0.284722222,0.354028887,0.201145308
BEN_SI11,panindia,1094,3557,4651,13,60,73,0.235218233,0.178082192,0.271221336,0.164529157
BEN_SI3,panindia,2105,6055,8160,44,118,162,0.257965686,0.271604938,0.375113417,0.221949493
BEN_SI5,panindia,2621,3281,5902,38,57,95,0.44408675,0.4,0.575375445,0.422793427
BEN_SI6,panindia,1859,5833,7692,36,106,142,0.241679667,0.253521127,0.382696006,0.24117521
BEN_SI8,panindia,2274,5146,7420,46,96,142,0.306469003,0.323943662,0.455554692,0.322607441
BEN_SI9,panindia,1795,6394,8189,38,115,153,0.219196483,0.248366013,0.330176685,0.179879348
LGS1,panindia,2182,18363,20545,32,212,244,0.10620589,0.131147541,0.28244878,0.10325501
ZSB_01,panindia,1698,7969,9667,45,154,199,0.175649116,0.226130653,0.281494967,0.168152715
ZSB_02,panindia,2605,10649,13254,44,169,213,0.196544439,0.20657277,0.382961617,0.267495549
ZSB_03,panindia,2136,6873,9009,50,144,194,0.237096237,0.257731959,0.366469371,0.259596812
