res1,res2,pair,ind1,ind2,roh1,roh2,roh3,ind1roh1,ind1roh2,ind2roh1,ind2roh2
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW10,0,0,0,493462124,396388890,365458206,328923565
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW11,0,0,0,493462124,396388890,310616571,263905963
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW12,0,0,0,493462124,396388890,262764295,227052846
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW14,0,0,0,493462124,396388890,222305063,177541519
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW17,0,0,0,493462124,396388890,286658737,256140006
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW19,0,0,0,493462124,396388890,277759581,232322355
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW4,0,0,0,493462124,396388890,191834501,158691252
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW55,0,0,0,493462124,396388890,592057634,534097691
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW8,0,0,0,493462124,396388890,314931496,275076038
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW9,0,0,0,493462124,396388890,259710267,216389572
Corbett,Zoo,Corbett-Zoo,BEN_NOR1,ZSB_02,0,0,0,493462124,396388890,338557583,260820720
Corbett,Zoo,Corbett-Zoo,BEN_NOR1,ZSB_03,289206,0,0,493462124,396388890,305927069,241409256
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI3,798037,0,0,493462124,396388890,430214378,345974583
Corbett,Periyar,Corbett-Periyar,BEN_NOR1,BEN_SI5,1330768,0,0,493462124,396388890,388807649,344660143
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI4,2394072,0,0,493462124,396388890,351998277,270707157
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW24,1418064,1050670,0,493462124,396388890,347774688,301627698
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI9,1477304,1136069,0,493462124,396388890,442912449,339499389
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI19,2565871,1142251,0,493462124,396388890,351322149,241812071
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW3,2684645,1178176,0,493462124,396388890,248403143,207797688
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW57,1233622,1233622,0,493462124,396388890,715528898,638361097
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI6,1238945,1238945,0,493462124,396388890,406301442,319674486
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI8,2235824,1299713,0,493462124,396388890,379454962,300308119
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR1,BEN_SI1,1321332,1321332,0,493462124,396388890,443001240,345341326
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI6,1748326,1363072,0,493462124,396388890,406156567,304633087
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW13,2141609,1542669,0,493462124,396388890,389020649,344174628
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW6,1636266,1636266,0,493462124,396388890,294235530,248527765
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR1,BEN_NW18,1676261,1676261,0,493462124,396388890,281506214,242877521
Corbett,Zoo,Corbett-Zoo,BEN_NOR1,ZSB_05,1788136,1788136,0,493462124,396388890,326718091,246263826
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI16,2136513,2136513,0,493462124,396388890,336116191,260165870
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI18,6219049,2611330,0,493462124,396388890,395198516,280261230
Corbett,Kaziranga,Corbett-Kaziranga,BEN_NOR1,BEN_NE3,4434160,2672760,0,493462124,396388890,348824990,277485474
Corbett,Lalgarh,Corbett-Lalgarh,BEN_NOR1,LGS1,4039245,2858021,0,493462124,396388890,504605978,404772144
Corbett,Zoo,Corbett-Zoo,BEN_NOR1,ZSB_04,3064268,3064268,0,493462124,396388890,370211960,302302125
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI5,4861544,4000042,0,493462124,396388890,377525892,289122614
Corbett,Kanha,Corbett-Kanha,BEN_NOR1,BEN_CI15,4147758,4147758,0,493462124,396388890,431734746,313676252
